title,year,length,budget,rating,mpaa,genres
This So-Called Disaster: Sam Shepard Directs the Late Henry Moss,2003,90,NA,5.8,R,documentary
Thunderbirds,2004,95,57000000,4.4,PG,"action, comedy"
Tian di ying xiong,2003,115,NA,6.4,R,"action, drama"
Ticker,2001,92,NA,3.3,R,action
Till Human Voices Wake Us,2002,101,NA,6,R,drama
Time Changer,2002,95,825000,4.5,PG,drama
"Time Machine, The",2002,96,80000000,5.5,PG-13,action
Timecop: The Berlin Decision,2003,82,NA,4.8,R,action
Tiptoes,2003,90,NA,4.9,R,"drama, comedy, romance"
To End All Wars,2001,110,NA,7.1,R,"action, drama"
Tokyo Godfathers,2003,93,NA,7.6,PG-13,"drama, comedy, animation"
Tomcats,2001,95,11000000,4.7,R,comedy
Torque,2004,81,40000000,3.2,PG-13,action
Tortilla Soup,2001,103,NA,5.9,PG-13,"drama, comedy, romance"
Totally Blonde,2001,94,NA,3.6,PG-13,comedy
Touch of Pink,2004,91,NA,6.8,R,"drama, comedy, romance"
"Touch, The",2002,103,20000000,4.5,PG-13,"action, romance"
Touching Wild Horses,2002,90,NA,6,PG,drama
Touching the Void,2003,106,NA,8.1,R,"drama, documentary"
Town & Country,2001,104,90000000,4.5,R,comedy
Training Day,2001,120,45000000,7.3,R,drama
"Transporter, The",2002,92,NA,6,PG-13,action
Treasure Planet,2002,95,140000000,6.6,PG,"drama, animation"
Trekkies 2,2004,93,NA,6.4,PG,documentary
Triggermen,2002,96,12000000,5.8,R,comedy
"Triplettes de Belleville, Les",2003,78,8000000,7.7,PG-13,"comedy, animation"
"Triumph of Love, The",2001,112,5000000,5.7,PG-13,"comedy, romance"
Trois 3: The Escort,2004,95,1000000,4.8,R,drama
Trojan Warrior,2002,95,NA,4.2,R,"action, comedy"
Troy,2004,162,185000000,7.1,R,"action, drama, romance"
True Blue,2001,97,NA,5.2,R,drama
Try Seventeen,2002,96,NA,6.1,R,"drama, comedy, romance"
Tuck Everlasting,2002,96,15000000,6.5,PG,"drama, romance"
Tuno negro,2001,98,NA,5,R,drama
Tupac: Resurrection,2003,90,NA,7.3,R,documentary
"Tuxedo, The",2002,98,60000000,5.1,PG-13,"action, comedy"
"Tweeling, De",2002,135,NA,8,R,"drama, romance"
Twist,2003,97,350000,6,R,drama
Two Brothers,2004,109,NA,6.9,PG,drama
Two Can Play That Game,2001,93,6000000,5.8,R,"comedy, romance"
Two Days,2003,90,NA,6.7,R,drama
Two Men Went to War,2002,109,NA,6.9,PG,"drama, comedy"
Two Weeks Notice,2002,101,60000000,5.8,PG-13,"comedy, romance"
Uh Oh!,2003,92,NA,7.6,PG,"action, comedy"
Ultimate X: The Movie,2002,44,NA,6.7,PG,"documentary, short"
"Ultimo bacio, L'",2001,115,NA,7,R,"drama, comedy"
Umi wa miteita,2002,119,NA,6.8,R,"drama, romance"
Uncle Nino,2003,104,NA,5.9,PG,"drama, comedy"
Unconditional Love,2002,120,NA,7.1,PG-13,"drama, comedy"
Under the Tuscan Sun,2003,113,18000000,6.7,PG-13,"drama, comedy, romance"
Undercover Brother,2002,85,25000000,6,PG-13,"action, comedy"
Undertow,2004,108,NA,6.9,R,drama
Undisputed,2002,96,20000000,5.6,R,"action, drama"
Unfaithful,2002,125,50000000,6.6,R,drama
Union Square,2003,90,NA,6,R,documentary
"United States of Leland, The",2003,108,NA,7,R,drama
Unstoppable,2004,96,15000000,4.8,R,"action, drama, comedy"
"Untergang, Der",2004,156,NA,8.4,R,drama
"Untold, The",2002,92,3000000,3.8,R,action
"Upside of Anger, The",2005,118,13200000,7.2,R,"drama, comedy, romance"
Uptown Girls,2003,93,NA,5.4,PG-13,"drama, comedy"
Va savoir,2001,157,NA,7.1,PG-13,"drama, comedy, romance"
Vampire Clan,2002,87,NA,4,R,drama
Vampires Anonymous,2003,88,NA,4.4,R,comedy
Vampires: Los Muertos,2002,93,NA,4.4,R,action
Vampires: The Turning,2005,84,NA,3.4,R,action
Van Helsing,2004,132,160000000,5.4,PG-13,action
Van Wilder,2002,94,6000000,5.8,R,comedy
Vanilla Sky,2001,136,68000000,6.9,R,"drama, romance"
Vanity Fair,2004,141,23000000,6.1,PG-13,"drama, romance"
"Vault, The",2005,87,100000,2.4,PG-13,action
Venus and Mars,2001,94,NA,5.3,R,"comedy, romance"
Vera Drake,2004,125,NA,7.9,R,drama
Veronica Guerin,2003,92,17000000,6.8,R,drama
View from the Top,2003,87,NA,5.1,PG-13,"comedy, romance"
Viktor Vogel - Commercial Man,2001,112,NA,5.6,R,comedy
"Village, The",2004,108,60000000,6.6,PG-13,drama
Virgin,2003,114,NA,6,R,drama
Virginia's Run,2002,101,NA,5.8,PG,drama
Vital,2004,86,NA,6.7,R,drama
Vital Parts,2001,87,NA,3.4,R,action
Viva Las Nowhere,2001,97,NA,6,R,"drama, comedy"
WXIII: Patlabor the Movie 3,2002,100,NA,6.6,R,"action, animation"
Waking Life,2001,101,NA,7.5,R,"drama, animation"
Waking Up in Reno,2002,91,NA,5.3,R,"comedy, romance"
Walk On Water,2004,104,NA,7.5,R,drama
"Walk to Remember, A",2002,101,11000000,6.8,PG,"drama, romance"
Walking Tall,2004,87,56000000,5.9,PG-13,"action, drama"
Warrior,2002,97,NA,1.7,R,"action, romance"
"Warrior, The",2001,86,NA,6.8,R,drama
"Was tun, wenn's brennt?",2001,101,NA,7.1,R,"drama, comedy"
Wasabi,2001,94,NA,6.4,R,"action, drama, comedy"
Washington Heights,2002,89,NA,5.9,R,"drama, romance"
Watchtower,2001,97,NA,4.5,R,drama
We Don't Live Here Anymore,2004,101,3000000,6.1,R,drama
We Sold Our Souls for Rock 'n Roll,2001,90,NA,3.3,R,documentary
We Were Soldiers,2002,143,75000000,7.1,R,"action, drama"
"Wedding Date, The",2005,90,15000000,5,PG-13,"comedy, romance"
"Wedding Planner, The",2001,103,35000000,4.9,PG-13,"comedy, romance"
Welcome to Collinwood,2002,86,12000000,6.1,R,comedy
Welcome to Mooseport,2004,117,26000000,5.3,PG-13,comedy
Wendigo,2001,91,NA,4.9,R,drama
Westender,2003,105,NA,6.3,PG-13,drama
Wet Hot American Summer,2001,97,NA,6.2,R,comedy
Whacked!,2002,91,NA,4.4,R,"action, comedy"
Whale Rider,2002,101,NA,8,PG-13,drama
Whasango,2001,95,NA,6.2,PG-13,action
What Alice Found,2003,96,NA,6.6,R,drama
What a Girl Wants,2003,105,20000000,5.7,PG,"drama, comedy, romance"
What's the Worst That Could Happen?,2001,97,45000000,5,PG-13,comedy
When Strangers Appear,2001,96,NA,6.5,R,"action, drama"
When Will I Be Loved,2004,81,NA,5.2,R,drama
When Zachary Beaver Came to Town,2003,85,3000000,7.9,PG,drama
White Chicks,2004,109,NA,4.8,PG-13,comedy
White Oleander,2002,109,16000000,6.9,PG-13,drama
Who Is Cletis Tout?,2001,92,NA,6.4,R,comedy
"Whole Ten Yards, The",2004,98,40000000,4.8,PG-13,comedy
Wicked Game,2002,95,NA,5.2,PG-13,action
Wicked Spring,2002,102,500000,5.6,PG-13,drama
Wicker Park,2004,114,30000000,6.4,PG-13,"drama, romance"
Wilbur Wants to Kill Himself,2002,105,NA,6.8,R,"drama, comedy"
"Wild Thornberrys Movie, The",2002,85,35000000,4.7,PG,"comedy, animation"
Willard,2003,100,22000000,6.2,PG-13,"drama, comedy"
Wimbledon,2004,98,31000000,6.3,PG-13,"drama, comedy, romance"
Win a Date with Tad Hamilton!,2004,95,24000000,5.8,PG-13,"comedy, romance"
Windfall,2001,102,NA,3.6,R,action
Windtalkers,2002,153,115000000,5.9,R,"action, drama"
Winter Solstice,2004,95,NA,7.2,R,drama
Wisegirls,2002,96,11000000,5.7,R,drama
Wish You Were Dead,2002,100,NA,4.7,R,comedy
With or Without You,2003,91,NA,4,R,"drama, comedy"
Without a Paddle,2004,95,19000000,5.4,PG-13,comedy
Wolves of Wall Street,2002,85,NA,2.8,R,action
"Woman Hunted, A",2003,94,NA,4.9,PG-13,drama
Woman Thou Art Loosed,2004,94,NA,6.3,R,drama
Women in Film,2001,89,NA,3,R,"drama, comedy"
"Woodsman, The",2004,87,NA,7.2,R,drama
"Work and the Glory, The",2004,118,7500000,6.3,PG,"drama, romance"
World Traveler,2001,103,2000000,5.4,R,drama
Wu jian dao,2002,101,NA,8,R,"action, drama"
X2,2003,133,110000000,7.9,PG-13,action
XX/XY,2002,91,NA,6.1,R,"drama, romance"
Xiao cheng zhi chun,2002,112,NA,7,PG,drama
"Year of the Yao, The",2004,88,NA,7.9,PG,documentary
"Yes Men, The",2003,83,NA,6.9,R,documentary
Yesterday,2004,96,NA,5.1,R,drama
Ying xiong,2002,93,30000000,8.1,PG-13,"action, drama"
Yo puta,2004,76,6000000,4.3,R,drama
Yossi & Jagger,2002,67,NA,7.9,R,"drama, romance"
You Got Served,2004,95,8000000,1.9,PG-13,drama
You're Killing Me...,2001,86,NA,5,R,comedy
Young Adam,2003,98,NA,6.5,R,drama
Zelary,2003,150,NA,7.5,R,"drama, romance"
Zhou Yu de huo che,2002,97,NA,6.3,PG-13,"drama, romance"
Zi hudie,2003,127,NA,5.7,R,drama
ZigZag,2002,101,NA,6,R,drama
Zoolander,2001,89,28000000,6.1,PG-13,comedy
Zuotian,2001,112,NA,6.7,R,drama
xXx,2002,132,85000000,5.5,PG-13,action
xXx: State of the Union,2005,101,87000000,3.9,PG-13,action
